,buying__high,buying__low,buying__med,buying__vhigh,maint__high,maint__low,maint__med,maint__vhigh,doors__2,doors__3,doors__4,doors__5more,persons__2,persons__4,persons__more,lug_boot__big,lug_boot__med,lug_boot__small,safety__high,safety__low,safety__med,acceptance
58,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,unacc
59,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,unacc
60,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,unacc
61,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,unacc
62,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,unacc
63,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,unacc
64,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,unacc
65,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,unacc
66,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,unacc
67,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,unacc
68,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,unacc
69,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,unacc
70,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,unacc
71,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,unacc
72,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,unacc
73,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,unacc
74,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False,unacc
75,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,unacc
76,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,unacc
77,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,unacc
78,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,unacc
79,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,unacc
80,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,unacc
81,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,unacc
82,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,unacc
83,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,unacc
84,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,unacc
85,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,unacc
86,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,unacc
87,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,unacc
88,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,unacc
89,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,unacc
90,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,unacc
91,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,unacc
92,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,unacc
93,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,unacc
94,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,unacc
95,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,unacc
96,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,unacc
97,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,unacc
98,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,unacc
99,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,unacc
100,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,unacc
101,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,unacc
102,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,unacc
103,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,unacc
104,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,unacc
105,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,unacc
106,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,unacc
107,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,unacc
108,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,unacc
109,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,unacc
110,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,unacc
111,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,unacc
112,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,unacc
113,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,unacc
114,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,unacc
115,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,unacc
116,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,unacc
117,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,unacc
118,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,unacc
119,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,unacc
120,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,unacc
121,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,unacc
122,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,unacc
123,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,unacc
124,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,unacc
125,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,unacc
126,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,unacc
127,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,unacc
128,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,unacc
129,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,unacc
130,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,unacc
131,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,unacc
132,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,unacc
133,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,unacc
134,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,unacc
135,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,unacc
136,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,unacc
137,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,unacc
138,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,unacc
139,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,unacc
140,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,unacc
141,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,unacc
142,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,unacc
143,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,unacc
144,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,unacc
145,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,unacc
146,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,unacc
147,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,unacc
148,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,unacc
149,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,unacc
150,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,unacc
151,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,unacc
152,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,unacc
153,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,unacc
154,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,unacc
155,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,unacc
156,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,unacc
157,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,unacc
158,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,unacc
159,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,unacc
160,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,unacc
161,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,unacc
162,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,unacc
163,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,unacc
164,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,unacc
165,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,unacc
166,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,unacc
167,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,unacc
168,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,unacc
169,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,unacc
170,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,unacc
171,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,unacc
172,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,unacc
173,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,unacc
174,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,unacc
175,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,unacc
176,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,unacc
177,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,unacc
178,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,unacc
179,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,unacc
180,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,unacc
181,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,unacc
182,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,unacc
183,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,unacc
184,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,unacc
185,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,unacc
186,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,unacc
187,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,unacc
188,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,unacc
189,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,unacc
190,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,unacc
191,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,unacc
192,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,unacc
193,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,unacc
194,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,unacc
195,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,unacc
196,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,unacc
197,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,unacc
198,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,unacc
199,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,unacc
200,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,unacc
201,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,unacc
202,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,unacc
203,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,unacc
204,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,unacc
205,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,unacc
206,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,unacc
207,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,unacc
208,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,unacc
209,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,unacc
210,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,unacc
211,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,unacc
212,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,unacc
213,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,unacc
214,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,unacc
215,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,unacc
216,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,unacc
217,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,unacc
218,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,unacc
219,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,unacc
220,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,unacc
221,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,unacc
222,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,unacc
223,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,unacc
224,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,unacc
225,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,unacc
226,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,unacc
227,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,acc
228,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,unacc
229,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,unacc
230,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,acc
231,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,unacc
232,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,acc
233,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,acc
234,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,unacc
235,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,unacc
236,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False,unacc
237,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,unacc
238,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,unacc
239,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,acc
240,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,unacc
241,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,acc
242,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False,acc
243,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,unacc
244,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,unacc
245,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,unacc
246,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,unacc
247,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,unacc
248,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,unacc
249,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,unacc
250,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,unacc
251,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,unacc
252,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,unacc
253,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,unacc
254,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,acc
255,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,unacc
256,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,unacc
257,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,acc
258,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,unacc
259,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,acc
260,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,acc
261,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,unacc
262,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,unacc
263,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,acc
264,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,unacc
265,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,acc
266,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,acc
267,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,unacc
268,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,acc
269,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,acc
270,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,unacc
271,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,unacc
272,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,unacc
273,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,unacc
274,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,unacc
275,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,unacc
276,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,unacc
277,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,unacc
278,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,unacc
279,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,unacc
280,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,unacc
281,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,acc
282,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,unacc
283,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,acc
284,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,acc
285,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,unacc
